"ICD10Code","ICD10Description","Comorbidity"
"F10.10","Alcohol abuse, uncomplicated","AlcoholAbuse"
"F10.120","Alcohol abuse with intoxication, uncomplicated","AlcoholAbuse"
"F10.121","Alcohol abuse with intoxication delirium","AlcoholAbuse"
"F10.129","Alcohol abuse with intoxication, unspecified","AlcoholAbuse"
"F10.14","Alcohol abuse with alcohol-induced mood disorder","AlcoholAbuse"
"F10.150","Alcohol abuse with alcohol-induced psychotic disorder with delusions","AlcoholAbuse"
"F10.151","Alcohol abuse with alcohol-induced psychotic disorder with hallucinations","AlcoholAbuse"
"F10.159","Alcohol abuse with alcohol-induced psychotic disorder, unspecified","AlcoholAbuse"
"F10.180","Alcohol abuse with alcohol-induced anxiety disorder","AlcoholAbuse"
"F10.181","Alcohol abuse with alcohol-induced sexual dysfunction","AlcoholAbuse"
"F10.182","Alcohol abuse with alcohol-induced sleep disorder","AlcoholAbuse"
"F10.188","Alcohol abuse with other alcohol-induced disorder","AlcoholAbuse"
"F10.19","Alcohol abuse with unspecified alcohol-induced disorder","AlcoholAbuse"
"F10.20","Alcohol dependence, uncomplicated","AlcoholDependence"
"F10.21","Alcohol dependence, in remission","AlcoholDependence"
"F10.220","Alcohol dependence with intoxication, uncomplicated","AlcoholDependence"
"F10.221","Alcohol dependence with intoxication delirium","AlcoholDependence"
"F10.229","Alcohol dependence with intoxication, unspecified","AlcoholDependence"
"F10.230","Alcohol dependence with withdrawal, uncomplicated","AlcoholDependence"
"F10.231","Alcohol dependence with withdrawal delirium","AlcoholDependence"
"F10.232","Alcohol dependence with withdrawal with perceptual disturbance","AlcoholDependence"
"F10.239","Alcohol dependence with withdrawal, unspecified","AlcoholDependence"
"F10.24","Alcohol dependence with alcohol-induced mood disorder","AlcoholDependence"
"F10.250","Alcohol dependence with alcohol-induced psychotic disorder with delusions","AlcoholDependence"
"F10.251","Alcohol dependence with alcohol-induced psychotic disorder with hallucinations","AlcoholDependence"
"F10.259","Alcohol dependence with alcohol-induced psychotic disorder, unspecified","AlcoholDependence"
"F10.26","Alcohol dependence with alcohol-induced persisting amnestic disorder","AlcoholDependence"
"F10.27","Alcohol dependence with alcohol-induced persisting dementia","AlcoholDependence"
"F10.280","Alcohol dependence with alcohol-induced anxiety disorder","AlcoholDependence"
"F10.281","Alcohol dependence with alcohol-induced sexual dysfunction","AlcoholDependence"
"F10.282","Alcohol dependence with alcohol-induced sleep disorder","AlcoholDependence"
"F10.288","Alcohol dependence with other alcohol-induced disorder","AlcoholDependence"
"F10.29","Alcohol dependence with unspecified alcohol-induced disorder","AlcoholDependence"
"F40.00","Agoraphobia, unspecified","Anxiety"
"F40.01","Agoraphobia with panic disorder","Anxiety"
"F40.02","Agoraphobia without panic disorder","Anxiety"
"F40.10","Social phobia, unspecified","Anxiety"
"F40.11","Social phobia, generalized","Anxiety"
"F40.210","Arachnophobia","Anxiety"
"F40.218","Other animal type phobia","Anxiety"
"F40.220","Fear of thunderstorms","Anxiety"
"F40.228","Other natural environment type phobia","Anxiety"
"F40.230","Fear of blood","Anxiety"
"F40.231","Fear of injections and transfusions","Anxiety"
"F40.232","Fear of other medical care","Anxiety"
"F40.233","Fear of injury","Anxiety"
